index,Title,Release Date,Year,IMDb Rating,Runtime (mins),Genres,Directors
215,Friday the 13th Part 2,30-04-1981,1981,6.1,87,"Horror, Mystery, Thriller",Steve Miner
216,Friday the 13th Part III,13-08-1982,1982,5.7,95,"Horror, Thriller",Steve Miner
217,The Final Chapter,13-04-1984,1984,6,91,"Horror, Thriller",Joseph Zito
218,A New Beginning,22-03-1985,1985,4.8,92,"Horror, Mystery, Thriller",Danny Steinmann
219,Jason Lives,01-08-1986,1986,6,86,"Horror, Thriller",Tom McLoughlin
220,The New Blood,13-05-1988,1988,5.3,88,"Horror, Thriller",John Carl Buechler
221,Jason Takes Manhattan,28-07-1989,1989,4.6,100,"Adventure, Horror, Thriller",Rob Hedden
222,Friday the 13th,09-02-2009,2009,5.5,97,"Horror, Mystery, Thriller",Marcus Nispel
223,Fright Night,02-08-1985,1985,7.1,106,"Horror, Thriller",Tom Holland
224,Fright Night Part 2,31-10-1988,1988,5.9,104,"Comedy, Horror, Thriller",Tommy Lee Wallace
225,Fright Night,14-08-2011,2011,6.3,106,"Comedy, Horror",Craig Gillespie
226,From Dusk Till Dawn,19-01-1996,1996,7.2,108,"Action, Crime, Horror",Robert Rodriguez
227,G.I. Joe: The Rise of Cobra,27-07-2009,2009,5.8,118,"Action, Adventure, Sci-Fi, Thriller",Stephen Sommers
228,G.I. Joe: Retaliation,11-03-2013,2013,5.8,110,"Action, Adventure, Sci-Fi, Thriller",Jon M. Chu
229,Garfield,06-06-2004,2004,5,80,"Animation, Comedy, Family, Fantasy",Peter Hewitt
230,Garfield: A Tale of Two Kitties,15-06-2006,2006,5,82,"Animation, Adventure, Comedy, Family",Tim Hill
231,Get Smart 2,,,,,Comedy,
232,Get Smart,19-06-2008,2008,6.5,110,"Action, Adventure, Comedy",Peter Segal
233,Ghost Rider,15-01-2007,2007,5.2,110,"Action, Fantasy, Thriller",Mark Steven Johnson
234,Ghost Rider: Spirit of Vengeance,11-12-2011,2011,4.3,96,"Action, Fantasy, Thriller","Brian Taylor, Mark Neveldine"
235,Ghostbusters,07-06-1984,1984,7.8,105,"Action, Comedy, Fantasy",Ivan Reitman
